label,session,dz,fwd,tercile,n,edge,wr,score,mom_avg,spread_atr,mode
NDX->NI225,Tokyo,2.0,1,Low,462,-0.0625825889176218,0.461038961038961,-1.3451617602585952,-0.052139682366512265,1.73,vega
NDX->NI225,Tokyo,2.0,1,Mid,473,-0.018536272724902103,0.5052854122621564,-0.4031372983111488,0.062142985466176984,1.73,vega
NDX->NI225,Tokyo,2.0,1,High,461,-0.08844441481662195,0.47288503253796094,-1.8989821194917593,0.5713120019317867,1.73,vega
NDX->NI225,Tokyo,3.0,1,ALL,535,-0.08481702647643027,0.4542056074766355,-1.961823506195794,0.21997618632709312,1.73,vega
NDX->NI225,Tokyo,3.0,1,Low,177,-0.14235734406622966,0.4519774011299435,-1.8939412803721207,-0.05319153060425626,1.73,vega
NDX->NI225,Tokyo,3.0,1,Mid,181,-0.043085009631991335,0.46408839779005523,-0.579649521653361,0.07148588349228131,1.73,vega
NDX->NI225,Tokyo,3.0,1,High,177,-0.06995182215693281,0.4463276836158192,-0.9306484641819931,0.644989919151668,1.73,vega
NDX->NI225,London,2.0,1,ALL,1633,-0.06885268250956246,0.4800979791794244,-2.78236407652725,0.18430262556407975,1.73,vega
NDX->NI225,London,2.0,1,Low,539,-0.038457154879712414,0.4675324675324675,-0.8928356726841393,-0.06535186607559884,1.73,vega
NDX->NI225,London,2.0,1,Mid,555,-0.05673223807412751,0.4702702702702703,-1.3365229120666855,0.06120868734289842,1.73,vega
NDX->NI225,London,2.0,1,High,539,-0.11172844513322769,0.5027829313543599,-2.593929316417083,0.560705049880485,1.73,vega
NDX->NI225,London,3.0,1,ALL,627,-0.12138053257227988,0.4880382775119617,-3.0393646576351276,0.21830538200472394,1.73,vega
NDX->NI225,London,3.0,1,Low,208,0.007349428877598142,0.5336538461538461,0.10599497065422342,-0.0668261489993695,1.73,vega
NDX->NI225,London,3.0,1,Mid,212,-0.08134878246264894,0.44339622641509435,-1.1844561513745202,0.07839232251299869,1.73,vega
NDX->NI225,London,3.0,1,High,207,-0.2917310784892673,0.48792270531400966,-4.197279307646537,0.6481069620100243,1.73,vega
NDX->NI225,NY,2.0,1,ALL,837,0.06185443032114489,0.4910394265232975,1.7895075721118838,0.199740879084327,1.73,vega
NDX->NI225,NY,2.0,1,Low,276,0.05988816041243175,0.4927536231884058,0.9949368447763424,-0.06168951228585244,1.73,vega
NDX->NI225,NY,2.0,1,Mid,285,0.016437217934066117,0.47017543859649125,0.27749217650668223,0.06266926845495922,1.73,vega
NDX->NI225,NY,2.0,1,High,276,0.11071890867303723,0.5108695652173914,1.839400657719396,0.6027126075174405,1.73,vega
NDX->NI225,NY,3.0,1,ALL,323,0.11085743641977593,0.48297213622291024,1.9923521025886428,0.2266889838826429,1.73,vega
NDX->NI225,NY,3.0,1,Low,107,0.03394526020073302,0.4392523364485981,0.35113250182832006,-0.07052118448584678,1.73,vega
NDX->NI225,NY,3.0,1,Mid,109,0.09534004101857084,0.5137614678899083,0.995379250805984,0.0781672806695471,1.73,vega
NDX->NI225,NY,3.0,1,High,107,0.20357705281387825,0.4953271028037383,2.1058174085768098,0.6751969620663426,1.73,vega
